title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Avatar: The Last Airbender,2005,23,TV Show,United States,English,9.3,260290,2007,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miraculous: Tales of Ladybug & Cat Noir,2015,20,TV Show,France,Urdu,7.7,7609,2019,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gotham,2014,42,TV Show,United States,English,7.8,214771,2019,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry,2021,106,Movie,Belgium,Flemish,7.1,6748,2021,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadchurch,2013,48,TV Show,United Kingdom,English,8.4,98727,2017,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
House of Cards,2013,51,TV Show,United States,English,8.7,473402,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Witch,2015,48,TV Show,Canada,English,7.3,7924,2019,children,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gossip Girl,2007,42,TV Show,United States,English,7.4,157517,2012,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dawson's Creek,1998,60,TV Show,United States,English,6.6,37546,2002,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jaws,1975,124,Movie,United States,English,8.0,551869,1975,children,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I Am All Girls,2021,107,Movie,South Africa,English,5.8,3283,2021,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13 Reasons Why,2017,60,TV Show,United States,English,7.6,262439,2020,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Run,2020,90,Movie,United States,English,6.7,50255,2004,teen,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
How to Get Away with Murder,2014,43,TV Show,United States,English,8.1,134059,2020,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Behind Her Eyes,2021,298,TV Show,United Kingdom,English,7.2,44283,2021,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Outer Banks,2020,50,TV Show,United States,English,7.6,21889,2021,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Whole Truth,2016,93,Movie,United States,English,6.2,25821,2016,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grace and Frankie,2015,30,TV Show,United States,English,8.3,40570,2021,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,2000,101,Movie,United States,English,7.6,509435,2000,adult,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Designated Survivor,2016,60,TV Show,United States,English,7.5,80188,2019,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Longmire,2012,60,TV Show,United States,English,8.3,30128,2017,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dig,2021,112,Movie,United Kingdom,English,7.1,56763,2021,teen,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Clovehitch Killer,2018,109,Movie,United States,English,6.6,20132,2018,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Enola Holmes,2020,123,Movie,United Kingdom,English,6.6,140708,2020,teen,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,201,Movie,New Zealand,English,8.9,1677017,2003,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grease,1978,110,Movie,United States,English,7.2,247935,1978,children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Thunder Force,2021,106,Movie,United States,English,4.4,33506,2021,teen,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Haunting of Hill House,2018,572,TV Show,United States,English,8.6,191096,2018,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Sabotage,2014,109,Movie,United States,English,5.7,60931,2014,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After Life,2019,30,TV Show,United Kingdom,English,8.4,89950,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxi Driver,1976,114,Movie,United States,English,8.3,743483,2015,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Irishman,2019,209,Movie,United States,English,7.8,340130,2019,adult,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Trial of the Chicago 7,2020,129,Movie,United States,English,7.8,147967,2020,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cheers,1982,22,TV Show,United States,English,7.9,49175,1992,children,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altered Carbon,2018,60,TV Show,United States,English,8.0,147006,2020,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uncut Gems,2019,135,Movie,United States,English,7.4,234688,2019,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dead to Me,2019,30,TV Show,United States,English,8.0,59824,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind River,2017,107,Movie,United Kingdom,English,7.7,215238,2017,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Atypical,2017,30,TV Show,United States,English,8.3,64133,2021,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Water Man,2020,91,Movie,United States,English,4.9,565,2021,children,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Willy Wonka & the Chocolate Factory,1971,100,Movie,United States,English,7.8,182325,1971,children,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Reign,2013,42,TV Show,United States,English,7.5,44529,2017,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Undercover,2019,50,TV Show,Belgium,Dutch,7.8,12165,2020,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Naruto,2002,24,TV Show,Japan,English,8.3,76613,2006,teen,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Old Guard,2020,125,Movie,United States,English,6.7,137367,2020,adult,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sexify,2021,40,TV Show,Poland,Polish,6.6,3495,2021,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Irregulars,2021,\N,TV Show,United Kingdom,English,5.9,11889,2021,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Firefly Lane,2021,\N,TV Show,United States,English,7.5,15613,2021,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Unbelievable,2019,385,TV Show,United States,English,8.4,79017,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bird Box,2018,124,Movie,United States,English,6.6,291356,2018,adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Emily in Paris,2020,30,TV Show,United States,French,7.0,52991,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Legally Blonde,2001,96,Movie,United States,English,6.3,192439,2001,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Locke & Key,2020,48,TV Show,Canada,English,7.4,45569,2020,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Extraction,2020,116,Movie,United States,English,6.7,169609,2015,adult,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Colony,2016,42,TV Show,United States,English,7.4,32040,2018,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloodline,2015,60,TV Show,United States,English,7.9,45306,2017,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
When Calls the Heart,2014,43,TV Show,United States,English,8.1,11072,2017,children,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
That '70s Show,1998,22,TV Show,United States,English,8.0,156527,2005,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The King,2019,140,Movie,United Kingdom,English,7.2,95469,2019,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fate: The Winx Saga,2021,\N,TV Show,Italy,English,6.9,28901,2021,adult,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sense8,2015,60,TV Show,United States,English,8.3,142628,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Kill Bill: Vol. 1,2003,111,Movie,United States,English,8.1,1021522,2003,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
